Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
MAT,Mattel Inc.,23.89,$8.09B,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mat,
MATR,Mattersight Corporation,7.82,$200.25M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/matr,
MATW,Matthews International Corporation,54.47,$1.8B,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/matw,
MFRM,Mattress Firm Holding Corp.,40.4,$1.42B,2011,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/mfrm,
MTSN,Mattson Technology Inc.,2.38,$178.75M,1994,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mtsn,
MXIM,Maxim Integrated Products Inc.,39.74,$11.3B,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxim,
MXWL,Maxwell Technologies Inc.,6.13,$195.03M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mxwl,
MZOR,Mazor Robotics Ltd.,11.98,$253.22M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mzor,
MBFI,MB Financial Inc.,31.35,$2.35B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbfi,
MBFIP,MB Financial Inc.,26.66,$106.64M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbfip,
MCFT,MCBC Holdings Inc.,13.73,$247.11M,2015,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mcft,
MGRC,McGrath RentCorp,27.72,$715.58M,1984,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mgrc,
MDCA,MDC Partners Inc.,20.3,$1.01B,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/mdca,
MCOX,Mecox Lane Limited,3.36,$43.7M,2010,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/mcox,
TAXI,Medallion Financial Corp.,8.55,$210.25M,1996,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/taxi,
MDAS,MedAssets Inc.,23.1,$1.39B,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mdas,
MTBC,Medical Transcription Billing Corp.,1.89,$20.84M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mtbc,
MNOV,MediciNova Inc.,2.85,$70.95M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnov,
MDSO,Medidata Solutions Inc.,41.09,$2.27B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mdso,
MDGS,Medigus Ltd.,3.9,$19.5M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdgs,
MDVN,Medivation Inc.,44.04,$14.39B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdvn,
MDWD,MediWound Ltd.,7.56,$164.88M,2014,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/mdwd,
MDVX,Medovex Corp.,1.91,$20.68M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdvx,
MDVXW,Medovex Corp.,0.349,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdvxw,
MEET,MeetMe Inc.,2.3,$104.56M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/meet,
MEIP,MEI Pharma Inc.,1.83,$62.51M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/meip,
MELA,MELA Sciences Inc,1.17,$11.57M,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mela,
MPEL,Melco Crown Entertainment Limited,18.4,$10.02B,2006,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mpel,
MLNX,Mellanox Technologies Ltd.,44.6,$2.07B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/mlnx,
MELR,Melrose Bancorp Inc.,14.49,$41M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/melr,
MEMP,Memorial Production Partners LP,6.6,$547.43M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/memp,
MRD,Memorial Resource Development Corp.,18.58,$3.56B,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mrd,
MENT,Mentor Graphics Corporation,25.71,$3.01B,1984,Technology,EDP Services,http://www.nasdaq.com/symbol/ment,
MTSL,MER Telemanagement Solutions Ltd.,1.2401,$9.97M,1997,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/mtsl,
MELI,MercadoLibre Inc.,95.72,$4.23B,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/meli,
MBWM,Mercantile Bank Corporation,21.16,$348.29M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/mbwm,
MERC,Mercer International Inc.,10.58,$682.43M,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/merc,
MBVT,Merchants Bancshares Inc.,29.93,$189.7M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbvt,
MRCY,Mercury Systems Inc,16.4,$564.66M,1998,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mrcy,
EBSB,Meridian Bancorp Inc.,13.59,$747.03M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebsb,
VIVO,Meridian Bioscience Inc.,18.1,$755.03M,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vivo,
MMSI,Merit Medical Systems Inc.,24.17,$1.07B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmsi,
MACK,Merrimack Pharmaceuticals Inc.,9.81,$1.09B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mack,
MSLI,Merus Labs International Inc.,1.38,$141.07M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/msli,
MLAB,Mesa Laboratories Inc.,109.04,$391.91M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mlab,
CASH,Meta Financial Group Inc.,41,$284.88M,1993,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cash,
MBLX,Metabolix Inc.,2.75,$74.2M,2006,Basic Industries,Containers/Packaging,http://www.nasdaq.com/symbol/mblx,
MEOH,Methanex Corporation,41.77,$3.76B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meoh,
