Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
TXMD,TherapeuticsMD Inc.,6.21,$1.1B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/txmd,
TPI,Tianyin Pharmaceutical Co. Inc.,0.22,$6.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tpi,
TLR,Timberline Resources Corporation,0.53,$5.25M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tlr,
TGD,Timmons Gold Corp,0.257,$73.24M,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tgd,
TOF,Tofutti Brands Inc.,4.55,$23.45M,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/tof,
TMP,Tompkins Financial Corporation,54.2,$809.86M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tmp,
TAT,Transatlantic Petroleum Ltd,2.82,$115.64M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tat,
TRXC,TransEnterix Inc.,2.38,$201.25M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/trxc,
TPLM,Triangle Petroleum Corporation,1.49,$112.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tplm,
TRT,Trio-Tech International,2.48,$8.71M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/trt,
HTM,U.S. Geothermal Inc.,0.6,$64.55M,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/htm,
UFAB,Unique Fabricating Inc.,12.58,$119.15M,2015,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ufab,
UAMY,United States Antimony Corporation,0.35,$23.18M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/uamy,
UUU,Universal Security Instruments Inc.,5.4,$12.49M,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/uuu,
UQM,UQM TECHNOLOGIES INC,0.53,$21.49M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/uqm,
URG,Ur Energy Inc,0.615,$80.07M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/urg,
UEC,Uranium Energy Corp.,1.2,$111.09M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/uec,
VSR,Versar Inc.,3.44,$33.77M,1986,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/vsr,
VII,Vicon Industries Inc.,1.63,$15M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/vii,
VHC,VirnetX Holding Corp,3.95,$206.84M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/vhc,
VGZ,Vista Gold Corporation,0.328,$27.12M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/vgz,
VNRX,VolitionRX Limited,4.63,$83.62M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vnrx,
VISI,Volt Information Sciences Inc.,8.53,$177.42M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/visi,
EAD,Wells Fargo Advantage Income Opportunities Fund,7.78,$552.25M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ead,
ERC,Wells Fargo Advantage Multi-Sector Income Fund,11.87,$499.19M,2003,n/a,n/a,http://www.nasdaq.com/symbol/erc,
ERH,Wells Fargo Advantage Utilities and High Income Fund,11.44,$105.6M,2004,n/a,n/a,http://www.nasdaq.com/symbol/erh,
SBI,Western Asset Intermediate Muni Fund Inc,9.99,$140.63M,1992,n/a,n/a,http://www.nasdaq.com/symbol/sbi,
WRN,Western Copper and Gold Corporation,0.2984,$28.11M,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wrn,
WYY,WidePoint Corporation,0.86,$70.97M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wyy,
WTT,Wireless Telecom Group  Inc.,1.71,$33.56M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/wtt,
YUMA,Yuma Energy Inc.,0.54,$38.65M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/yuma,
YUMA^A,Yuma Energy Inc.,10.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/yuma^a,
